날짜,평균 조회율 (%)
2026-03-09,0
2026-03-10,0
2026-03-11,0
2026-03-12,0
2026-03-13,0
2026-03-14,0
2026-03-15,0
2026-03-16,0
2026-03-17,0
2026-03-18,0
2026-03-19,14.95
2026-03-20,0
2026-03-21,0
2026-03-22,0
2026-03-23,0
2026-03-24,103.83
2026-03-25,0
2026-03-26,63.09
2026-03-27,175.62
2026-03-28,59.1
2026-03-29,57.4
2026-03-30,2331.18
2026-03-31,15.64
2026-04-01,
2026-04-02,90.13
2026-04-03,36.08
2026-04-04,33.72
2026-04-05,68.81
