콘텐츠,동영상 제목,동영상 게시 시간,길이,평균 조회율 (%),평균 시청 지속 시간,계속 시청함 (%),순 시청자수,시청자당 평균 조회수,신규 시청자,재방문 시청자,일반 시청자,고정 시청자,구독자 증가수,구독자 감소수,좋아요,싫어요,좋아요(싫어요 대비) (%),공유,추가된 댓글 수,조회수,시청 시간(단위: 시간),구독자,노출수,노출 클릭률 (%)
합계,,,,121.99,0:00:11,21.34,576,1.1042,575,0,0,0,3,0,60,0,100,3,6,3765,3.0303,3,204,21.57
OB7DxSPyAg4,로지 위에 퍼지 얹기 🐰☘🐇 #퀘스터즈 #캐릭터 #타이밍 #타이밍맞춰 #맞추기,"Mar 27, 2026",5,211.27,0:00:10,22.38,539,1.0427,536,4,4,0,2,0,59,0,100,2,5,3403,2.4903,2,34,32.35
4zuepazYBqg,퀘스터즈 입단테스트 — 로지의 '이' 표정을 3초 안에 찾아라! (관찰력 편),"Apr 3, 2026",13,88.14,0:00:11,11.89,31,1.0968,27,1,1,0,0,0,1,0,100,0,1,312,0.1796,0,33,15.15
Z6MD_k5hgiI,퀘스터즈 출발🎵 | 모험을 떠나자! | 키즈 인기 동요 | 상상력 풍부해지는 창작동요 | 어린이 애니메이션 | 퀘스터즈 Questerz,"Mar 19, 2026",55,34.87,0:00:19,,8,1.375,5,3,3,0,0,0,0,0,,0,0,11,0.0586,0,50,20
NaC_nHYXt58,아이의 창의력이 깨어나는 시간: 퀘스터즈 에디슨 편 | 넥스페리움 아카데미 | 퀘스터즈 호기심 탐험대,"Mar 19, 2026",135,46.74,0:01:03,,7,1.8571,4,3,3,0,0,0,0,0,,1,0,13,0.2279,0,39,28.21
ALG9GX6v7hI,놀러가자🎵 | 키즈 인기 동요 | 상상력 풍부해지는 창작동요 | 어린이 애니메이션 | 퀘스터즈 Questerz,"Mar 19, 2026",47,38.28,0:00:17,,11,1.1818,3,7,7,0,0,0,0,0,,0,0,13,0.065,0,49,14.29
