콘텐츠,동영상 제목,동영상 게시 시간,길이,평균 시청 지속 시간,평균 조회율 (%),유효 조회수,계속 시청함 (%),순 시청자수,시청자당 평균 조회수,신규 시청자,고정 시청자,일반 시청자,재방문 시청자,조회수,시청 시간(단위: 시간),구독자,노출수,노출 클릭률 (%)
합계,,,,0:00:11,130.78,595,22.32,0,0,0,0,0,0,3437,2.8268,3,121,26.45
OB7DxSPyAg4,로지 위에 퍼지 얹기 🐰☘🐇 #퀘스터즈 #캐릭터 #타이밍 #타이밍맞춰 #맞추기,"Mar 27, 2026",5,0:00:10,211.06,561,22.32,,,,,,,3403,2.4881,2,20,35
ALG9GX6v7hI,놀러가자🎵 | 키즈 인기 동요 | 상상력 풍부해지는 창작동요 | 어린이 애니메이션 | 퀘스터즈 Questerz,"Mar 19, 2026",47,0:00:19,40.56,12,,,,,,,,12,0.0635,0,35,17.14
NaC_nHYXt58,아이의 창의력이 깨어나는 시간: 퀘스터즈 에디슨 편 | 넥스페리움 아카데미 | 퀘스터즈 호기심 탐험대,"Mar 19, 2026",135,0:01:10,52.5,11,,,,,,,,11,0.2166,0,32,28.13
Z6MD_k5hgiI,퀘스터즈 출발🎵 | 모험을 떠나자! | 키즈 인기 동요 | 상상력 풍부해지는 창작동요 | 어린이 애니메이션 | 퀘스터즈 Questerz,"Mar 19, 2026",55,0:00:19,34.87,11,,,,,,,,11,0.0586,0,35,28.57
