게시일,기록일,포맷,제목,캐릭터,업로드시간,검증가설,도달,조회수,좋아요,댓글,저장,공유,팔로우,비고
2026-03-24,2026-04-07,이미지,봄 소풍 피크닉 일러스트,전체,21:20,,3,17,1,0,0,0,0,
2026-03-25,2026-04-07,슬라이드,비행기 좌석 고르기,전체,22:36,,3,8,2,0,0,0,0,
2026-03-26,2026-04-07,이미지,비밀의 숲,전체,01:15,,2,7,1,2,0,0,0,
2026-03-26,2026-04-07,슬라이드,로지 현수막,로지,01:42,,3,10,1,2,0,0,0,
2026-03-27,2026-04-07,릴스,퍼지 얹기 타이밍 맞추기,로지+퍼지,00:57,H-01 H-02 H-03,104,132,2,0,0,0,0,유튜브 동시 게시. YT 3403회
2026-03-30,2026-04-07,슬라이드,봄 폰배경 무료 굿즈,전체,03:29,,3,9,1,2,0,0,0,
2026-03-30,2026-04-07,릴스,봄 PC배경 무료 굿즈,전체,03:49,,115,120,1,2,0,0,0,굿즈 배포용 릴스
2026-04-02,2026-04-07,릴스,입단테스트 로지 표정 찾기,전체,00:13,,122,129,1,2,0,0,0,유튜브 동시 게시(4/3). YT 312회. 참여형 포맷
